year,state,electiondistrict,runoff,special,candidate,party,writein,candidatevotes,totalvotes
1976,Alabama,AL1,FALSE,FALSE,Bill Davenport,democrat,FALSE,58906,157170
1976,Alabama,AL1,FALSE,FALSE,Jack Edwards,republican,FALSE,98257,157170
1976,Alabama,AL1,FALSE,FALSE,NA,NA,TRUE,7,157170
1976,Alabama,AL2,FALSE,FALSE,J. Carole Keahey,democrat,FALSE,66288,156362
1976,Alabama,AL2,FALSE,FALSE,NA,NA,TRUE,5,156362
1976,Alabama,AL2,FALSE,FALSE,"William L. """"Bill"""" Dickinson",republican,FALSE,90069,156362
1976,Alabama,AL3,FALSE,FALSE,Bill Nichols,democrat,FALSE,106935,108048
1976,Alabama,AL3,FALSE,FALSE,NA,NA,TRUE,2,108048
1976,Alabama,AL3,FALSE,FALSE,Ogburn Gardner,prohibition,FALSE,1111,108048
1976,Alabama,AL4,FALSE,FALSE,Tom Bevill,democrat,FALSE,141490,176022
1976,Alabama,AL4,FALSE,FALSE,Leonard Wilson,republican,FALSE,34531,176022
1976,Alabama,AL4,FALSE,FALSE,NA,NA,TRUE,1,176022
1976,Alabama,AL5,FALSE,FALSE,Ronnie G. Flippo,democrat,FALSE,113553,113560
1976,Alabama,AL5,FALSE,FALSE,NA,NA,TRUE,7,113560
1976,Alabama,AL6,FALSE,FALSE,Billy E. Dorsey,national democrat,FALSE,1021,162518
1976,Alabama,AL6,FALSE,FALSE,Mel Bailey,democrat,FALSE,69384,162518
1976,Alabama,AL6,FALSE,FALSE,"John H. Buchanan, Jr.",republican,FALSE,92113,162518
1976,Alabama,AL7,FALSE,FALSE,Walter Flowers,democrat,FALSE,110496,110501
1976,Alabama,AL7,FALSE,FALSE,NA,NA,TRUE,5,110501
1976,Alaska,AK0,FALSE,FALSE,Don Young,republican,FALSE,83722,118208
1976,Alaska,AK0,FALSE,FALSE,NA,NA,TRUE,292,118208
1976,Alaska,AK0,FALSE,FALSE,Eben Hopson,democrat,FALSE,34194,118208
1976,Arizona,AZ1,FALSE,FALSE,Harry Braun,independent,FALSE,1040,168119
1976,Arizona,AZ1,FALSE,FALSE,John J. Rhodes,republican,FALSE,96397,168119
1976,Arizona,AZ1,FALSE,FALSE,Summer Duncan Dodge,libertarian,FALSE,2278,168119
1976,Arizona,AZ1,FALSE,FALSE,Patricia M. Fullinwider,democrat,FALSE,68404,168119
1976,Arizona,AZ2,FALSE,FALSE,Laird Guttersen,republican,FALSE,71765,182128
1976,Arizona,AZ2,FALSE,FALSE,Michael Emerling,libertarian,FALSE,4309,182128
1976,Arizona,AZ2,FALSE,FALSE,Morris K. Udall,democrat,FALSE,106054,182128
1976,Arizona,AZ3,FALSE,FALSE,Bill McCune,independent,FALSE,19149,187165
1976,Arizona,AZ3,FALSE,FALSE,Bob Stump,democrat,FALSE,88854,187165
1976,Arizona,AZ3,FALSE,FALSE,"Fred Koory, Jr.",republican,FALSE,79162,187165
1976,Arizona,AZ4,FALSE,FALSE,Pat Harper,libertarian,FALSE,6001,191590
1976,Arizona,AZ4,FALSE,FALSE,Eldon Rudd,republican,FALSE,93154,191590
1976,Arizona,AZ4,FALSE,FALSE,Tony Mason,democrat,FALSE,92435,191590
1976,Arkansas,AR1,FALSE,FALSE,"Harlan """"Bo"""" Holleman",republican,FALSE,52565,168782
1976,Arkansas,AR1,FALSE,FALSE,Bill Alexander,democrat,FALSE,116217,168782
1976,Arkansas,AR2,FALSE,FALSE,Jim Guy Tucker,democrat,FALSE,144780,167607
1976,Arkansas,AR2,FALSE,FALSE,NA,NA,TRUE,8,167607
1976,Arkansas,AR2,FALSE,FALSE,James J. Kelly,republican,FALSE,22819,167607
1976,Arkansas,AR3,FALSE,FALSE,John Paul Hammerschmidt,republican,FALSE,1,1
1976,Arkansas,AR4,FALSE,FALSE,Ray Thornton,democrat,FALSE,1,1
1976,California,CA1,FALSE,FALSE,James E. Taylor,republican,FALSE,56539,217016
1976,California,CA1,FALSE,FALSE,Harold T. (Bizz) Johnson,democrat,FALSE,160477,217016
1976,California,CA2,FALSE,FALSE,Robert B. Allred,peace and freedom,FALSE,6444,216563
1976,California,CA2,FALSE,FALSE,Oscar Klee,democrat,FALSE,88829,216563
1976,California,CA2,FALSE,FALSE,Don H. Clausen,republican,FALSE,121290,216563
1976,California,CA3,FALSE,FALSE,"George R. Marsh, Jr.",republican,FALSE,52075,191854
1976,California,CA3,FALSE,FALSE,John E. Moss,democrat,FALSE,139779,191854
1976,California,CA4,FALSE,FALSE,Albert Dehr,republican,FALSE,75193,151037
1976,California,CA4,FALSE,FALSE,Robert L. Leggett,democrat,FALSE,75844,151037
1976,California,CA5,FALSE,FALSE,Branwell Fanning,republican,FALSE,64008,167754
1976,California,CA5,FALSE,FALSE,John L. Burton,democrat,FALSE,103746,167754
1976,California,CA6,FALSE,FALSE,Raymond O. Heaps,american independent,FALSE,2494,130916
1976,California,CA6,FALSE,FALSE,Tom Spinosa,republican,FALSE,35359,130916
1976,California,CA6,FALSE,FALSE,Emily Siegel,peace and freedom,FALSE,6570,130916
1976,California,CA6,FALSE,FALSE,Phillip Burton,democrat,FALSE,86493,130916
1976,California,CA7,FALSE,FALSE,Robert L. Vickers,republican,FALSE,45863,196816
1976,California,CA7,FALSE,FALSE,George Miller,democrat,FALSE,147064,196816
1976,California,CA7,FALSE,FALSE,Melvin E. Stanley,american independent,FALSE,3889,196816
1976,California,CA8,FALSE,FALSE,Robert J. Evans,peace and freedom,FALSE,6238,196954
1976,California,CA8,FALSE,FALSE,"Philip Stiles Breck, Jr.",republican,FALSE,68374,196954
1976,California,CA8,FALSE,FALSE,Ronald V. Dellums,democrat,FALSE,122342,196954
1976,California,CA9,FALSE,FALSE,Fortney H. (Pete) Stark,democrat,FALSE,116398,164391
1976,California,CA9,FALSE,FALSE,James K. Mills,republican,FALSE,44607,164391
1976,California,CA9,FALSE,FALSE,Albert L. Sargis,peace and freedom,FALSE,3386,164391
1976,California,CA10,FALSE,FALSE,Herb Smith,republican,FALSE,38088,155443
1976,California,CA10,FALSE,FALSE,Edmon V. Kaiser,american independent,FALSE,5363,155443
1976,California,CA10,FALSE,FALSE,Don Edwards,democrat,FALSE,111992,155443
1976,California,CA11,FALSE,FALSE,Leo J. Ryan,democrat,FALSE,107618,176194
1976,California,CA11,FALSE,FALSE,Nicholas W. Kudrovzeff,american independent,FALSE,6141,176194
1976,California,CA11,FALSE,FALSE,Bob Jones,republican,FALSE,62435,176194
1976,California,CA12,FALSE,FALSE,David Harris,democrat,FALSE,61526,196857
1976,California,CA12,FALSE,FALSE,Joseph David Cooney,american independent,FALSE,4999,196857
1976,California,CA12,FALSE,FALSE,"Paul N. """"Pete"""" McCloskey, Jr.",republican,FALSE,130332,196857
1976,California,CA13,FALSE,FALSE,Ernest L. Konnyu,republican,FALSE,63130,202611
1976,California,CA13,FALSE,FALSE,William P. Herrell,american independent,FALSE,4190,202611
1976,California,CA13,FALSE,FALSE,Norman Y. Mineta,democrat,FALSE,135291,202611
1976,California,CA14,FALSE,FALSE,John J. McFall,democrat,FALSE,123285,169959
1976,California,CA14,FALSE,FALSE,Roger A. Blain,republican,FALSE,46674,169959
1976,California,CA15,FALSE,FALSE,B. F. Sisk,democrat,FALSE,92735,128435
1976,California,CA15,FALSE,FALSE,Carol Harner,republican,FALSE,35700,128435
1976,California,CA16,FALSE,FALSE,Burt Talcott,republican,FALSE,91160,195705
1976,California,CA16,FALSE,FALSE,Leon E. Panetta,democrat,FALSE,104545,195705
1976,California,CA17,FALSE,FALSE,John Krebs,democrat,FALSE,103898,158168
1976,California,CA17,FALSE,FALSE,Henry J. Andreas,republican,FALSE,54270,158168
1976,California,CA18,FALSE,FALSE,Dean Close,democrat,FALSE,56683,158341
1976,California,CA18,FALSE,FALSE,William M. Ketchum,republican,FALSE,101658,158341
1976,California,CA19,FALSE,FALSE,Dan Sisson,democrat,FALSE,68722,192923
1976,California,CA19,FALSE,FALSE,Robert J. Lagomarsino,republican,FALSE,124201,192923
1976,California,CA20,FALSE,FALSE,"Barry Goldwater, Jr.",republican,FALSE,146158,217351
1976,California,CA20,FALSE,FALSE,Patti Lear Corman,democrat,FALSE,71193,217351
1976,California,CA21,FALSE,FALSE,James C. Corman,democrat,FALSE,101837,153109
1976,California,CA21,FALSE,FALSE,Bill Hill,peace and freedom,FALSE,7178,153109
1976,California,CA21,FALSE,FALSE,"Erwin """"Ed"""" Hogan",republican,FALSE,44094,153109
1976,California,CA22,FALSE,FALSE,Carlos J. Moorhead,republican,FALSE,114769,183312
1976,California,CA22,FALSE,FALSE,Robert L. Salley,democrat,FALSE,68543,183312
1976,California,CA23,FALSE,FALSE,Thomas F. Bartman,republican,FALSE,86434,217053
1976,California,CA23,FALSE,FALSE,Anthony C. Beilenson,democrat,FALSE,130619,217053
1976,California,CA24,FALSE,FALSE,David Irving Simmons,republican,FALSE,51478,159774
1976,California,CA24,FALSE,FALSE,Heny A. Waxman,democrat,FALSE,108296,159774
1976,California,CA25,FALSE,FALSE,Jim Madrid,republican,FALSE,17737,80625
1976,California,CA25,FALSE,FALSE,Marilyn Seals,peace and freedom,FALSE,4922,80625
1976,California,CA25,FALSE,FALSE,Edward R. Roybal,democrat,FALSE,57966,80625
1976,California,CA26,FALSE,FALSE,John H. Rousselot,republican,FALSE,112619,171712
1976,California,CA26,FALSE,FALSE,Bruce Latta,democrat,FALSE,59093,171712
1976,California,CA27,FALSE,FALSE,Gary Familian,democrat,FALSE,94988,209611
1976,California,CA27,FALSE,FALSE,Robert K. Dornan,republican,FALSE,114623,209611
1976,California,CA28,FALSE,FALSE,Edward S. Skinner,republican,FALSE,28303,142915
1976,California,CA28,FALSE,FALSE,Yvonne Brathwaite Burke,democrat,FALSE,114612,142915
1976,California,CA29,FALSE,FALSE,Sheila Leburg,independent,FALSE,3235,96602
1976,California,CA29,FALSE,FALSE,Michael D. Germonprez,republican,FALSE,10852,96602
1976,California,CA29,FALSE,FALSE,"Augustus F. """"Gus"""" Hawkins",democrat,FALSE,82515,96602
1976,California,CA30,FALSE,FALSE,Harry Couch,republican,FALSE,28503,111270
1976,California,CA30,FALSE,FALSE,Georg E. Danielson,democrat,FALSE,82767,111270
1976,California,CA31,FALSE,FALSE,Charles II. Wilson,democrat,FALSE,83155,83155
1976,California,CA32,FALSE,FALSE,Clifford O. Young,republican,FALSE,35394,127428
1976,California,CA32,FALSE,FALSE,Glenn M. Anderson,democrat,FALSE,92034,127428
1976,California,CA33,FALSE,FALSE,Del Clawson,republican,FALSE,95398,173205
1976,California,CA33,FALSE,FALSE,Ted Snyder,democrat,FALSE,77807,173205
1976,California,CA34,FALSE,FALSE,Daniel E. Lungren,republican,FALSE,98147,199135
1976,California,CA34,FALSE,FALSE,Mark W. Hannaford,democrat,FALSE,100988,199135
1976,California,CA35,FALSE,FALSE,Jim Lloyd,democrat,FALSE,87472,164237
1976,California,CA35,FALSE,FALSE,Louis Brutocao,republican,FALSE,76765,164237
1976,California,CA36,FALSE,FALSE,"George E. Brown, Jr.",democrat,FALSE,90830,147556
1976,California,CA36,FALSE,FALSE,William Pasley,american independent,FALSE,7358,147556
1976,California,CA36,FALSE,FALSE,Grant Carner,republican,FALSE,49368,147556
1976,California,CA37,FALSE,FALSE,Bernard Wahl,american independent,FALSE,5352,188007
1976,California,CA37,FALSE,FALSE,"Douglas C. Nilson, Jr.",democrat,FALSE,49021,188007
1976,California,CA37,FALSE,FALSE,Shirley N. Pettis,republican,FALSE,133634,188007
1976,California,CA38,FALSE,FALSE,James (Jim) Combs,republican,FALSE,59092,162409
1976,California,CA38,FALSE,FALSE,Jerry Patterson,democrat,FALSE,103317,162409
1976,California,CA39,FALSE,FALSE,"William E. """"Bill"""" Farris",democrat,FALSE,86745,209402
1976,California,CA39,FALSE,FALSE,Charles E. Wiggins,republican,FALSE,122657,209402
1976,California,CA40,FALSE,FALSE,Vivian Hall,democrat,FALSE,102132,250644
1976,California,CA40,FALSE,FALSE,Robert E. Badham,republican,FALSE,148512,250644
1976,California,CA41,FALSE,FALSE,Bob C. Wilson,republican,FALSE,128784,223374
1976,California,CA41,FALSE,FALSE,"King Golden, Jr.",democrat,FALSE,94590,223374
1976,California,CA42,FALSE,FALSE,Wes Marden,republican,FALSE,32565,135627
1976,California,CA42,FALSE,FALSE,Lionel Van Deerlin,democrat,FALSE,103062,135627
1976,California,CA43,FALSE,FALSE,Clair W. Burgener,republican,FALSE,173576,267051
1976,California,CA43,FALSE,FALSE,Pat Kelly,democrat,FALSE,93475,267051
1976,Colorado,CO1,FALSE,FALSE,Lann Meyers,u.s. labor,FALSE,508,193610
1976,Colorado,CO1,FALSE,FALSE,Don Friedman,republican,FALSE,89384,193610
1976,Colorado,CO1,FALSE,FALSE,Patricia Schroeder,democrat,FALSE,103037,193610
1976,Colorado,CO1,FALSE,FALSE,Priscilla Schenk,socialist workers,FALSE,681,193610
1976,Colorado,CO2,FALSE,FALSE,Ed Scott,republican,FALSE,118938,240278
1976,Colorado,CO2,FALSE,FALSE,Timothy E. Wirth,democrat,FALSE,121340,240278
1976,Colorado,CO3,FALSE,FALSE,Henry John Olshaw,american,FALSE,1186,175232
1976,Colorado,CO3,FALSE,FALSE,Melvin H. Takaki,republican,FALSE,82315,175232
1976,Colorado,CO3,FALSE,FALSE,Alfredo Archer,la raza unida,FALSE,2429,175232
1976,Colorado,CO3,FALSE,FALSE,Frank E. Evans,democrat,FALSE,89302,175232
1976,Colorado,CO4,FALSE,FALSE,Dick Davis,independent,FALSE,20398,221018
1976,Colorado,CO4,FALSE,FALSE,James P. (Jim) Johnson,republican,FALSE,119458,221018
1976,Colorado,CO4,FALSE,FALSE,"Henry Thiel, Jr.",independent,FALSE,4167,221018
1976,Colorado,CO4,FALSE,FALSE,"Daniel M. Ogden, Jr.",democrat,FALSE,76995,221018
1976,Colorado,CO5,FALSE,FALSE,Dorothy Hores,democrat,FALSE,64067,190851
1976,Colorado,CO5,FALSE,FALSE,William L. Armstrong,republican,FALSE,126784,190851
1976,Connecticut,CT1,FALSE,FALSE,Charlie A. Burke,american independent,FALSE,1326,225076
1976,Connecticut,CT1,FALSE,FALSE,scatter,,FALSE,55,225076
1976,Connecticut,CT1,FALSE,FALSE,William R. Cotter,democrat,FALSE,128479,225076
1976,Connecticut,CT1,FALSE,FALSE,Donna C. McDonough,u.s. labor,FALSE,1110,225076
1976,Connecticut,CT1,FALSE,FALSE,"Lucien P. Di Fazio, Jr.",republican,FALSE,94106,225076
1976,Connecticut,CT2,FALSE,FALSE,scatter,,FALSE,24,219308
1976,Connecticut,CT2,FALSE,FALSE,Christopher J. Dodd,democrat,FALSE,142684,219308
1976,Connecticut,CT2,FALSE,FALSE,Richard M. Jackson,republican,FALSE,74743,219308
1976,Connecticut,CT2,FALSE,FALSE,Anthony Discepolo,indpendent,FALSE,1857,219308
1976,Connecticut,CT3,FALSE,FALSE,Robert G. Cossette,american independent,FALSE,1339,222643
1976,Connecticut,CT3,FALSE,FALSE,Joelle R. Fishman,communist,FALSE,2947,222643
1976,Connecticut,CT3,FALSE,FALSE,scatter,,FALSE,20,222643
1976,Connecticut,CT3,FALSE,FALSE,John G. Pucciano,republican,FALSE,96714,222643
1976,Connecticut,CT3,FALSE,FALSE,Robert N. Giaimo,democrat,FALSE,121623,222643
1976,Connecticut,CT4,FALSE,FALSE,Geoffrey G. Peterson,democrat,FALSE,76722,207058
1976,Connecticut,CT4,FALSE,FALSE,Zoltan Toth Solymossy,conservative,FALSE,679,207058
1976,Connecticut,CT4,FALSE,FALSE,Stewart B. McKinney,republican,FALSE,126314,207058
1976,Connecticut,CT4,FALSE,FALSE,Richard H. G. Cunningham,american independent,FALSE,3318,207058
1976,Connecticut,CT4,FALSE,FALSE,scatter,,FALSE,25,207058
1976,Connecticut,CT5,FALSE,FALSE,scatter,,FALSE,27,236087
1976,Connecticut,CT5,FALSE,FALSE,Michael J. Adanti,democrat,FALSE,77308,236087
1976,Connecticut,CT5,FALSE,FALSE,Ronald A. Sarasin,republican,FALSE,157009,236087
1976,Connecticut,CT5,FALSE,FALSE,"William Kozak, Jr.",american independent,FALSE,1743,236087
1976,Connecticut,CT6,FALSE,FALSE,scatter,,FALSE,18,238300
1976,Connecticut,CT6,FALSE,FALSE,Anthony Toby Moffett,democrat,FALSE,134914,238300
1976,Connecticut,CT6,FALSE,FALSE,Louis J. Marietta,independent,FALSE,1004,238300
1976,Connecticut,CT6,FALSE,FALSE,Thomas F. Upson,republican,FALSE,102364,238300
1976,Delaware,DE0,FALSE,FALSE,Samuel L. Shipley,democrat,FALSE,102411,215085
1976,Delaware,DE0,FALSE,FALSE,Philip Valenti,u.s. labor,FALSE,158,215085
1976,Delaware,DE0,FALSE,FALSE,Raymond R. Green,prohibition,FALSE,693,215085
1976,Delaware,DE0,FALSE,FALSE,"Thomas B. Evans, Jr.",republican,FALSE,110636,215085
1976,Delaware,DE0,FALSE,FALSE,Robert G. LoPresti,american,FALSE,840,215085
1976,Delaware,DE0,FALSE,FALSE,"Joseph B. Hollon, Sr.",socialist labor,FALSE,347,215085
1976,Florida,FL1,FALSE,FALSE,Robert L. F. Sikes,democrat,FALSE,1,1
1976,Florida,FL2,FALSE,FALSE,Don Fuqua,democrat,FALSE,1,1
1976,Florida,FL3,FALSE,FALSE,Charles E. Bennett,democrat,FALSE,1,1
1976,Florida,FL4,FALSE,FALSE,"Bill Chappell, Jr.",democrat,FALSE,1,1
1976,Florida,FL5,FALSE,FALSE,Jo Ann Saunders,democrat,FALSE,96260,234631
1976,Florida,FL5,FALSE,FALSE,Richard Kelly,republican,FALSE,138371,234631
1976,Florida,FL6,FALSE,FALSE,Gabriel Cazares,democrat,FALSE,80821,232218
1976,Florida,FL6,FALSE,FALSE,NA,NA,TRUE,26,232218
1976,Florida,FL6,FALSE,FALSE,C. W. Bill Young,republican,FALSE,151371,232218
1976,Florida,FL7,FALSE,FALSE,Dusty Owens,republican,FALSE,53599,156338
1976,Florida,FL7,FALSE,FALSE,Sam Gibbons,democrat,FALSE,102739,156338
1976,Florida,FL8,FALSE,FALSE,Andy Ireland,democrat,FALSE,103360,178154
1976,Florida,FL8,FALSE,FALSE,Bob Johnson,republican,FALSE,74794,178154
1976,Florida,FL9,FALSE,FALSE,Joseph A. Rosier,democrat,FALSE,36630,167139
1976,Florida,FL9,FALSE,FALSE,"Louis Frey, Jr.",republican,FALSE,130509,167139
1976,Florida,FL10,FALSE,FALSE,L. A. (Skip) Bafalis,republican,FALSE,164273,247686
1976,Florida,FL10,FALSE,FALSE,Bill Sikes,democrat,FALSE,83413,247686
1976,Florida,FL11,FALSE,FALSE,Clyde Adams,american,FALSE,19406,218437
1976,Florida,FL11,FALSE,FALSE,Paul G. Rogers,democrat,FALSE,199031,218437
1976,Florida,FL12,FALSE,FALSE,J. Herbert Burke,republican,FALSE,107268,199076
1976,Florida,FL12,FALSE,FALSE,NA,NA,TRUE,59,199076
1976,Florida,FL12,FALSE,FALSE,Charlie Friedman,democrat,FALSE,91749,199076
1976,Florida,FL13,FALSE,FALSE,Lee Arnold Spiegelman,republican,FALSE,35357,163179
1976,Florida,FL13,FALSE,FALSE,William Lehman,democrat,FALSE,127822,163179
1976,Florida,FL14,FALSE,FALSE,Claude Pepper,democrat,FALSE,82665,113439
1976,Florida,FL14,FALSE,FALSE,Evelio S. Estrella,republican,FALSE,30774,113439
1976,Florida,FL14,FALSE,FALSE,NA,NA,TRUE,0,113439
1976,Florida,FL15,FALSE,FALSE,Paul R. Cobb,republican,FALSE,50941,172233
1976,Florida,FL15,FALSE,FALSE,Dante B. Fascell,democrat,FALSE,121292,172233
1976,Georgia,GA1,FALSE,FALSE,Bo Ginn,democrat,FALSE,73826,73888
1976,Georgia,GA1,FALSE,FALSE,NA,NA,TRUE,62,73888
1976,Georgia,GA2,FALSE,FALSE,NA,NA,TRUE,219,96026
1976,Georgia,GA2,FALSE,FALSE,Dawson Mathis,democrat,FALSE,95807,96026
1976,Georgia,GA3,FALSE,FALSE,NA,NA,TRUE,1,105004
1976,Georgia,GA3,FALSE,FALSE,Jack Brinkley,democrat,FALSE,93174,105004
1976,Georgia,GA3,FALSE,FALSE,Steven Dugan,republican,FALSE,11829,105004
1976,Georgia,GA4,FALSE,FALSE,George T. Warren II,republican,FALSE,51140,161412
1976,Georgia,GA4,FALSE,FALSE,Elliott H. Levitas,democrat,FALSE,110261,161412
1976,Georgia,GA4,FALSE,FALSE,NA,NA,TRUE,11,161412
1976,Georgia,GA5,FALSE,FALSE,NA,NA,TRUE,9,144063
1976,Georgia,GA5,FALSE,FALSE,Andrew Young,democrat,FALSE,96056,144063
1976,Georgia,GA5,FALSE,FALSE,Edward W. Gadrix,republican,FALSE,47998,144063
1976,Georgia,GA6,FALSE,FALSE,Newt Gingrich,republican,FALSE,72400,149944
1976,Georgia,GA6,FALSE,FALSE,NA,NA,TRUE,12,149944
1976,Georgia,GA6,FALSE,FALSE,"John J. Flynt, Jr.",democrat,FALSE,77532,149944
1976,Georgia,GA7,FALSE,FALSE,Quincy Collins,republican,FALSE,68947,153554
1976,Georgia,GA7,FALSE,FALSE,NA,NA,TRUE,20,153554
1976,Georgia,GA7,FALSE,FALSE,Larry P. McDonald,democrat,FALSE,84587,153554
1976,Georgia,GA8,FALSE,FALSE,Bill Lee Evans,democrat,FALSE,90559,130186
1976,Georgia,GA8,FALSE,FALSE,Billy Adams,republican,FALSE,39623,130186
1976,Georgia,GA8,FALSE,FALSE,NA,NA,TRUE,4,130186
1976,Georgia,GA9,FALSE,FALSE,NA,NA,TRUE,158,143357
1976,Georgia,GA9,FALSE,FALSE,Ed Jenkins,democrat,FALSE,113245,143357
1976,Georgia,GA9,FALSE,FALSE,Louise Wofford,republican,FALSE,29954,143357
1976,Georgia,GA10,FALSE,FALSE,Doug Barnard,democrat,FALSE,94782,94864
1976,Georgia,GA10,FALSE,FALSE,NA,NA,TRUE,82,94864
1976,Hawaii,HI1,FALSE,FALSE,Frederick Rohlfing,republican,FALSE,53745,137602
1976,Hawaii,HI1,FALSE,FALSE,Kathy Joyce Hoshijo,independents for godly government,FALSE,23807,137602
1976,Hawaii,HI1,FALSE,FALSE,Cecil L. Heftel,democrat,FALSE,60050,137602
1976,Hawaii,HI2,FALSE,FALSE,Dexter L. Cate,people's,FALSE,2408,156099
1976,Hawaii,HI2,FALSE,FALSE,Bill Penaroza,independents for godly government,FALSE,3461,156099
1976,Hawaii,HI2,FALSE,FALSE,Daniel K. Akaka,democrat,FALSE,124116,156099
1976,Hawaii,HI2,FALSE,FALSE,Hank Inouye,republican,FALSE,23917,156099
1976,Hawaii,HI2,FALSE,FALSE,Don Smith,libertarian,FALSE,2197,156099
1976,Idaho,ID1,FALSE,FALSE,Ken Pursley,democrat,FALSE,79662,175495
1976,Idaho,ID1,FALSE,FALSE,Steven D. Symms,republican,FALSE,95833,175495
1976,Idaho,ID2,FALSE,FALSE,Stan Kress,democrat,FALSE,82237,166412
1976,Idaho,ID2,FALSE,FALSE,George Hansen,republican,FALSE,84175,166412
1976,Illinois,IL1,FALSE,FALSE,Debra Simonsen,workers,FALSE,211,137193
1976,Illinois,IL1,FALSE,FALSE,Ralph H. Metcalfe,democrat,FALSE,126632,137193
1976,Illinois,IL1,FALSE,FALSE,NA,NA,TRUE,5,137193
1976,Illinois,IL1,FALSE,FALSE,Andrew C. Pulley,socialist workers,FALSE,198,137193
1976,Illinois,IL1,FALSE,FALSE,"A. A. Rayner, Jr.",republican,FALSE,10147,137193
1976,Illinois,IL2,FALSE,FALSE,NA,NA,TRUE,1,150335
1976,Illinois,IL2,FALSE,FALSE,Morgan F. Murphy,democrat,FALSE,127297,150335
1976,Illinois,IL2,FALSE,FALSE,Spencer Leak,republican,FALSE,23037,150335
1976,Illinois,IL3,FALSE,FALSE,Martin A. Russo,democrat,FALSE,115591,196365
1976,Illinois,IL3,FALSE,FALSE,Frank Collin,white power,FALSE,1338,196365
1976,Illinois,IL3,FALSE,FALSE,Ronald Buikema,republican,FALSE,79434,196365
1976,Illinois,IL3,FALSE,FALSE,NA,NA,TRUE,2,196365
1976,Illinois,IL4,FALSE,FALSE,Edward Derwinski,republican,FALSE,124847,189772
1976,Illinois,IL4,FALSE,FALSE,NA,NA,TRUE,1,189772
1976,Illinois,IL4,FALSE,FALSE,Ronald A. Rodger,democrat,FALSE,64924,189772
1976,Illinois,IL5,FALSE,FALSE,John G. Fary,democrat,FALSE,119336,155092
1976,Illinois,IL5,FALSE,FALSE,Vincent Krok,republican,FALSE,35756,155092
1976,Illinois,IL6,FALSE,FALSE,Marilyn D. Clancy,democrat,FALSE,69359,176027
1976,Illinois,IL6,FALSE,FALSE,HenryJ. Hyde,republican,FALSE,106667,176027
1976,Illinois,IL6,FALSE,FALSE,NA,NA,TRUE,1,176027
1976,Illinois,IL7,FALSE,FALSE,Newell Ward,republican,FALSE,15854,104094
1976,Illinois,IL7,FALSE,FALSE,Cardiss Collins,democrat,FALSE,88239,104094
1976,Illinois,IL7,FALSE,FALSE,NA,NA,TRUE,1,104094
1976,Illinois,IL8,FALSE,FALSE,Daniel D. Rostenkowski,democrat,FALSE,105595,131107
1976,Illinois,IL8,FALSE,FALSE,John F. Urbaszewski,republican,FALSE,25512,131107
1976,Illinois,IL9,FALSE,FALSE,NA,NA,TRUE,14,168983
1976,Illinois,IL9,FALSE,FALSE,Sidney R. Yates,democrat,FALSE,121915,168983
1976,Illinois,IL9,FALSE,FALSE,Thomas J. Wajerski,republican,FALSE,47054,168983
1976,Illinois,IL10,FALSE,FALSE,Samuel H. Young,republican,FALSE,106603,213414
1976,Illinois,IL10,FALSE,FALSE,Abner J. Mikva,democrat,FALSE,106804,213414
1976,Illinois,IL10,FALSE,FALSE,NA,NA,TRUE,7,213414
1976,Illinois,IL11,FALSE,FALSE,NA,NA,TRUE,5,201440
1976,Illinois,IL11,FALSE,FALSE,Daniel C. Reber,republican,FALSE,65680,201440
1976,Illinois,IL11,FALSE,FALSE,Frank Annunzio,democrat,FALSE,135755,201440
1976,Illinois,IL12,FALSE,FALSE,Edwin L. Frank,democrat,FALSE,56644,208553
1976,Illinois,IL12,FALSE,FALSE,Philip M. Crane,republican,FALSE,151899,208553
1976,Illinois,IL12,FALSE,FALSE,NA,NA,TRUE,10,208553
1976,Illinois,IL13,FALSE,FALSE,Donald G. DesLauriers,independent,FALSE,4763,164266
1976,Illinois,IL13,FALSE,FALSE,Robert McClory,republican,FALSE,109726,164266
1976,Illinois,IL13,FALSE,FALSE,James J. Cummings,democrat,FALSE,49777,164266
1976,Illinois,IL14,FALSE,FALSE,Marie Agnes Fese,democrat,FALSE,60505,236588
1976,Illinois,IL14,FALSE,FALSE,John Erlenborn,republican,FALSE,176076,236588
1976,Illinois,IL14,FALSE,FALSE,NA,NA,TRUE,7,236588
1976,Illinois,IL15,FALSE,FALSE,Tim L. Hall,democrat,FALSE,87676,190231
1976,Illinois,IL15,FALSE,FALSE,Tom Corcoran,republican,FALSE,102555,190231
1976,Illinois,IL16,FALSE,FALSE,John B. Anderson,republican,FALSE,114324,168328
1976,Illinois,IL16,FALSE,FALSE,Stephen Eytalis,democrat,FALSE,54002,168328
1976,Illinois,IL16,FALSE,FALSE,NA,NA,TRUE,2,168328
1976,Illinois,IL17,FALSE,FALSE,Merlin Karlock,democrat,FALSE,81220,194365
1976,Illinois,IL17,FALSE,FALSE,George M. O'Brien,republican,FALSE,113145,194365
1976,Illinois,IL18,FALSE,FALSE,Robert H. Michel,republican,FALSE,108028,187130
1976,Illinois,IL18,FALSE,FALSE,Matthew Ryan,democrat,FALSE,79102,187130
1976,Illinois,IL19,FALSE,FALSE,Tom Railsback,republican,FALSE,132571,193539
